14:55:25 | DB_CALL  |   1306ms | rows=1
14:55:25 | REQUEST  |     11ms | GET / -> 200
14:55:28 | REQUEST  |      0ms | GET / -> 200
14:55:29 | AUTH     |      0ms | sign_in_with_oauth
14:55:29 | REQUEST  |      3ms | GET /auth/github -> 307
14:55:36 | AUTH     |    511ms | exchange_code_for_session
14:55:37 | DB_CALL  |    647ms | rows=1
14:55:37 | REQUEST  |   1164ms | GET /auth/callback -> 307
14:55:37 | DB_CALL  |    400ms | rows=1
14:55:37 | DB_CALL  |    388ms | rows=4
14:55:37 | DB_CALL  |    588ms | rows=0
14:55:37 | REQUEST  |    603ms | GET /admin/dashboard -> 200
14:55:45 | AUTH     |      0ms | sign_in_with_oauth
14:55:45 | REQUEST  |      1ms | GET /auth/github -> 307
14:55:49 | REQUEST  |      0ms | GET /auth/callback -> 200
14:55:58 | REQUEST  |      0ms | GET /auth/callback -> 200
14:56:29 | DB_CALL  |    868ms | rows=1
14:56:29 | REQUEST  |      9ms | GET / -> 200
14:56:37 | AUTH     |      0ms | sign_in_with_oauth
14:56:37 | REQUEST  |      1ms | GET /auth/github -> 307
14:56:42 | AUTH     |    763ms | exchange_code_for_session
14:56:42 | DB_CALL  |    812ms | rows=0
14:56:43 | DB_CALL  |    305ms | rows=1
14:56:43 | REQUEST  |   1929ms | GET /auth/callback -> 307
14:56:43 | REQUEST  |     16ms | GET /user/registration-success -> 200
14:56:50 | REQUEST  |      0ms | GET /auth/logout -> 307
14:56:50 | REQUEST  |      1ms | GET / -> 200
14:56:51 | AUTH     |      0ms | sign_in_with_oauth
14:56:51 | REQUEST  |      1ms | GET /auth/github -> 307
14:56:56 | AUTH     |    715ms | exchange_code_for_session
14:56:56 | DB_CALL  |    513ms | rows=1
14:56:56 | REQUEST  |   1231ms | GET /auth/callback -> 307
14:56:56 | REQUEST  |      7ms | GET /user/registration-success -> 200
14:56:56 | DB_CALL  |    309ms | rows=1
14:57:02 | REQUEST  |      1ms | GET /auth/logout -> 307
14:57:02 | REQUEST  |      1ms | GET / -> 200
14:57:03 | AUTH     |      0ms | sign_in_with_oauth
14:57:03 | REQUEST  |      1ms | GET /auth/github -> 307
14:57:08 | AUTH     |    815ms | exchange_code_for_session
14:57:08 | DB_CALL  |    820ms | rows=1
14:57:08 | REQUEST  |   1638ms | GET /auth/callback -> 307
14:57:08 | REQUEST  |      8ms | GET /user/registration-success -> 200
14:57:09 | DB_CALL  |    307ms | rows=1
14:57:10 | REQUEST  |      8ms | GET /user/events/6c45e968-7589-42d5-aa2b-b66b2cc5a7f0/qr -> 200
14:57:43 | DB_CALL  |    606ms | rows=0
14:57:43 | DB_CALL  |    811ms | rows=5
14:57:43 | REQUEST  |    823ms | GET /admin/dashboard -> 200
14:57:45 | REQUEST  |      6ms | GET /admin/verify -> 200
14:57:52 | DB_CALL  |    648ms | rows=1
14:57:52 | REQUEST  |    652ms | POST /api/verify -> 200
14:57:52 | DB_CALL  |    240ms | rows=1
14:57:56 | DB_CALL  |    336ms | rows=5
14:57:56 | DB_CALL  |    336ms | rows=1
14:57:56 | REQUEST  |    444ms | GET /admin/dashboard -> 200
14:57:58 | DB_CALL  |    315ms | rows=4
14:57:58 | REQUEST  |    328ms | GET /admin/export-attendance -> 200
14:58:07 | REQUEST  |      0ms | GET /auth/logout -> 307
14:58:08 | REQUEST  |      1ms | GET / -> 200
14:58:09 | REQUEST  |      1ms | GET /auth/logout -> 307
14:58:09 | REQUEST  |      0ms | GET / -> 200
14:58:10 | AUTH     |      0ms | sign_in_with_oauth
14:58:10 | REQUEST  |      1ms | GET /auth/github -> 307
14:58:14 | AUTH     |    580ms | exchange_code_for_session
14:58:15 | DB_CALL  |    662ms | rows=1
14:58:15 | REQUEST  |   1245ms | GET /auth/callback -> 307
